date,year,month,week,day,day_name,weekend,quarter,region,governorate,city,sales_channel,customer_type,product_category,product_name,technology,offer_type,promotion,promotion_discount,campaign_name,unit_price,quantity_sold,revenue,payment_method,network_usage_level,stock_available,competitor_campaign,public_holiday,school_holiday,ramadan,eid,weather,temperature,unemployment_index,inflation_index,fuel_price,customer_satisfaction,complaints,churn_rate,active_users,previous_day_sales,previous_week_sales,moving_average_7,moving_average_30,target_sales_next_day,region_enc,governorate_enc,city_enc,sales_channel_enc,customer_type_enc,product_category_enc,product_name_enc,technology_enc,offer_type_enc,payment_method_enc,network_usage_level_enc,weather_enc,campaign_name_enc
2025-12-31,2025,12,1,31,mercredi,0,4,Centre Est,Sfax,Sfax,Boutique,Particulier,Mobile,Forfait 5 DT,4G,Prépayé,0,0.0,Aucune,5.736,104,596.544,Carte bancaire,Faible,198.0,0,0,1,0,0,Ensoleillé,6.3,15.29,11.39,2.837,3.9,,3.01,3581,108.0,91.0,114.71,108.2,,0,10,10,1,1,2,11,0,2,0,1,1,1
2025-12-31,2025,12,1,31,mercredi,0,4,Centre Est,Sousse,Sousse,Boutique,Particulier,Mobile,Forfait 40 DT,5G,Prépayé,0,0.0,Aucune,45.774,126,5767.524,Mobile Money,Inconnu,216.0,0,0,1,0,0,Nuageux,5.6,15.29,11.39,2.837,4.38,3.0,2.94,3910,102.0,135.0,102.29,85.33,,0,12,12,1,1,2,10,1,2,3,2,3,1
2025-12-31,2025,12,1,31,mercredi,0,4,Centre Est,Sfax,Sfax,Boutique,Particulier,Mobile,Forfait 20 DT,4G,Prépayé,0,0.0,Aucune,23.587,77,1816.199,Mobile Money,Moyen,154.0,0,0,1,0,0,Ensoleillé,6.2,15.29,11.39,2.837,4.57,1.0,2.88,2958,75.0,57.0,71.0,76.9,,0,10,10,1,1,2,9,0,2,3,3,1,1
2025-12-31,2025,12,1,31,mercredi,0,4,Centre Est,Sfax,Sfax,Revendeur,Particulier,Mobile,Forfait 10 DT,4G,Prépayé,0,0.0,Aucune,11.537,74,853.738,Paiement en ligne,Moyen,107.0,0,0,1,0,0,Ensoleillé,3.1,15.29,11.39,2.837,,1.0,3.37,3054,87.0,78.0,81.29,88.53,,0,10,10,3,1,2,8,0,2,4,3,1,1
2025-12-31,2025,12,1,31,mercredi,0,4,Centre Est,Sfax,Sfax,Site Web,Entreprise,Internet Fixe,Fibre 50 Mbps,Fibre,Entreprise,0,0.0,Aucune,56.048,42,2354.016,Carte bancaire,Élevé,105.0,0,0,1,0,0,Ensoleillé,5.6,15.29,11.39,2.837,4.08,1.0,2.47,3285,32.0,33.0,34.43,34.13,,0,10,10,4,0,1,7,2,0,0,4,1,1
2025-12-31,2025,12,1,31,mercredi,0,4,Centre Est,Monastir,Monastir,Boutique,Particulier,Internet Fixe,Fibre 100 Mbps,Fibre,Résidentiel,0,0.0,Aucune,79.339,14,1110.746,Espèces,Moyen,37.0,0,0,1,0,0,Ensoleillé,7.5,15.29,11.39,2.837,4.28,1.0,2.19,2843,13.0,20.0,13.86,14.17,,0,7,7,1,1,1,5,2,3,1,3,1,1
2025-12-31,2025,12,1,31,mercredi,0,4,Centre Est,Monastir,Monastir,Application Mobile,Particulier,Data,5 Go,4G,Prépayé,0,0.0,Inconnu,8.243,27,222.561,Espèces,Inconnu,61.0,0,0,1,0,0,Pluvieux,7.5,15.29,11.39,2.837,4.04,0.0,3.08,2846,29.0,21.0,29.43,35.1,,0,7,7,0,1,0,3,0,2,1,2,4,6
2025-12-31,2025,12,1,31,mercredi,0,4,Centre Est,Sfax,Sfax,Application Mobile,Particulier,Data,20 Go,5G,Prépayé,0,0.0,Aucune,23.198,115,2667.77,Espèces,Faible,241.0,0,0,1,0,0,Nuageux,7.0,15.29,11.39,2.837,3.86,1.0,3.87,4014,99.0,33.0,86.86,80.3,,0,10,10,0,1,0,2,1,2,1,1,3,1
2025-12-31,2025,12,1,31,mercredi,0,4,Centre Est,Sousse,Sousse,Boutique,Particulier,Data,100 Go,5G,Prépayé,0,0.0,Aucune,63.612,32,2035.584,Mobile Money,Moyen,80.0,0,0,1,0,0,Pluvieux,7.1,15.29,11.39,2.837,4.16,0.0,3.05,3052,42.0,29.0,38.0,41.83,,0,12,12,1,1,0,1,1,2,3,3,4,1
2025-12-31,2025,12,1,31,mercredi,0,4,Centre Est,Sfax,Sfax,Revendeur,Particulier,Data,10 Go,4G,Prépayé,0,0.0,Aucune,13.772,30,413.16,Carte bancaire,Élevé,70.0,0,0,1,0,0,Pluvieux,6.8,15.29,11.39,2.837,3.95,0.0,3.44,2724,46.0,35.0,45.86,53.33,,0,10,10,3,1,0,0,0,2,0,4,4,1
2025-12-31,2025,12,1,31,mercredi,0,4,Grand Tunis,Tunis,Tunis,Application Mobile,Particulier,Internet Fixe,Fibre 300 Mbps,Fibre,Résidentiel,0,0.0,Aucune,114.588,17,1947.996,Carte bancaire,Élevé,37.0,1,0,1,0,0,Ensoleillé,3.9,15.29,11.39,2.837,4.46,1.0,3.73,3643,25.0,48.0,28.0,26.73,,2,15,15,0,1,1,6,2,3,0,4,1,1
2025-12-31,2025,12,1,31,mercredi,0,4,Sud Ouest,Tozeur,Tozeur,Site Web,Particulier,Data,50 Go,5G,Prépayé,0,0.0,Aucune,40.633,10,406.33,Carte bancaire,Faible,35.0,0,0,1,0,0,Ensoleillé,13.3,15.29,11.39,,4.27,1.0,2.78,2587,7.0,10.0,10.57,9.73,,6,14,14,4,1,0,4,1,2,0,1,1,1
2025-12-31,2025,12,1,31,mercredi,0,4,Sud Est,Tataouine,Tataouine,Boutique,Particulier,Mobile,Forfait 40 DT,5G,Prépayé,0,0.0,Aucune,45.908,13,596.804,Carte bancaire,Élevé,26.0,0,0,1,0,0,Pluvieux,6.4,15.29,11.39,2.837,3.77,2.0,2.97,3392,19.0,20.0,15.57,15.33,,5,13,13,1,1,2,10,1,2,0,4,4,1
2025-12-31,2025,12,1,31,mercredi,0,4,Sud Est,Gabès,Gabès,Revendeur,Particulier,Data,20 Go,5G,Postpayé,0,0.0,Aucune,23.061,27,622.647,Carte bancaire,Moyen,54.0,0,0,1,0,0,Ensoleillé,6.4,15.29,11.39,2.837,4.11,0.0,2.52,3302,33.0,37.0,29.14,24.7,,5,3,3,3,1,0,2,1,1,0,3,1,1
2025-12-31,2025,12,1,31,mercredi,0,4,Sud Est,Médenine,Médenine,Boutique,Particulier,Data,10 Go,4G,Prépayé,1,15.8,Black Friday Ooredoo-like,11.664,19,221.616,Espèces,Faible,38.0,0,0,1,0,0,Nuageux,7.5,15.29,11.39,2.837,4.35,0.0,2.09,2322,16.0,21.0,16.29,15.8,,5,8,8,1,1,0,0,0,2,1,1,3,3
2025-12-31,2025,12,1,31,mercredi,0,4,Nord Ouest,Béja,Béja,Boutique,Particulier,Mobile,Forfait Illimité,4G,Postpayé,0,0.0,Aucune,69.541,9,625.869,Mobile Money,Faible,23.0,0,0,1,0,0,Ensoleillé,0.2,15.29,11.39,2.837,3.94,0.0,3.72,1945,17.0,13.0,17.14,17.93,,4,2,2,1,1,2,12,0,1,3,1,1,1
2025-12-31,2025,12,1,31,mercredi,0,4,Nord Ouest,Siliana,Siliana,Boutique,Particulier,Mobile,Forfait 20 DT,4G,Prépayé,0,0.0,Aucune,23.014,12,276.168,Espèces,Faible,29.0,0,0,1,0,0,Ensoleillé,6.1,15.29,11.39,2.837,4.2,0.0,2.71,2616,13.0,10.0,12.0,11.47,,4,11,11,1,1,2,9,0,2,1,1,1,1
2025-12-31,2025,12,1,31,mercredi,0,4,Nord Ouest,Jendouba,Jendouba,Site Web,Entreprise,Internet Fixe,Fibre 100 Mbps,Fibre,Entreprise,0,0.0,Aucune,79.144,7,554.008,Paiement en ligne,Faible,15.0,0,0,1,0,0,Nuageux,5.0,15.29,11.39,2.837,,0.0,3.53,2626,12.0,5.0,6.43,6.33,,4,4,4,4,0,1,5,2,0,4,1,3,1
2025-12-31,2025,12,1,31,mercredi,0,4,Nord Est,Nabeul,Nabeul,Centre d'appel,Particulier,Mobile,Forfait 40 DT,4G,Prépayé,1,32.8,Black Friday Ooredoo-like,30.909,46,1421.814,Paiement en ligne,Moyen,103.0,0,0,1,0,0,Nuageux,3.1,15.29,11.39,2.837,4.05,0.0,2.94,2431,67.0,58.0,67.14,63.6,,3,9,9,2,1,2,10,0,2,4,3,3,3
2025-12-31,2025,12,1,31,mercredi,0,4,Nord Est,Zaghouan,Zaghouan,Boutique,Particulier,Mobile,Forfait 20 DT,4G,Prépayé,1,32.9,Ramadan Digital Boost,15.403,21,323.463,Espèces,Faible,38.0,0,0,1,0,0,Ensoleillé,5.8,15.29,11.39,2.837,3.96,0.0,3.58,2660,15.0,14.0,16.29,15.73,,3,16,16,1,1,2,9,0,2,1,1,1,8
2025-12-31,2025,12,1,31,mercredi,0,4,Nord Est,Nabeul,Nabeul,Boutique,Particulier,Mobile,Forfait 10 DT,4G,Prépayé,0,0.0,Aucune,11.592,54,625.968,Paiement en ligne,Moyen,123.0,0,0,1,0,0,Ensoleillé,6.1,15.29,11.39,2.837,4.35,1.0,2.1,3023,71.0,65.0,68.29,58.57,,3,9,9,1,1,2,8,0,2,4,3,1,1
2025-12-31,2025,12,1,31,mercredi,0,4,Nord Est,Nabeul,Nabeul,Centre d'appel,Particulier,Internet Fixe,Fibre 50 Mbps,Fibre,Résidentiel,0,0.0,Aucune,57.123,23,1313.829,Espèces,Moyen,45.0,0,0,1,0,0,Nuageux,2.9,15.29,11.39,2.837,4.26,0.0,2.84,2877,18.0,22.0,28.86,22.53,,3,9,9,2,1,1,7,2,3,1,3,3,1
2025-12-31,2025,12,1,31,mercredi,0,4,Nord Est,Nabeul,Nabeul,Revendeur,Particulier,Internet Fixe,Fibre 300 Mbps,Fibre,Résidentiel,0,0.0,Aucune,115.686,7,809.802,Carte bancaire,Élevé,,0,0,1,0,0,Pluvieux,3.0,15.29,11.39,2.837,3.63,0.0,3.71,2661,12.0,10.0,9.14,9.47,,3,9,9,3,1,1,6,2,3,0,4,4,1
2025-12-31,2025,12,1,31,mercredi,0,4,Nord Est,Zaghouan,Zaghouan,Application Mobile,Particulier,Data,50 Go,5G,Prépayé,0,0.0,Aucune,40.922,16,654.752,Espèces,Faible,34.0,1,0,1,0,0,Pluvieux,1.3,15.29,11.39,2.837,4.06,0.0,4.24,2907,17.0,12.0,15.14,14.9,,3,16,16,0,1,0,4,1,2,1,1,4,1
2025-12-31,2025,12,1,31,mercredi,0,4,Nord Est,Zaghouan,Zaghouan,Application Mobile,Particulier,Data,100 Go,5G,Prépayé,1,7.5,Ramadan Digital Boost,59.682,10,596.82,Espèces,Élevé,23.0,0,0,1,0,0,Ensoleillé,3.0,15.29,11.39,2.837,4.09,1.0,2.46,2416,10.0,10.0,9.71,9.7,,3,16,16,0,1,0,1,1,2,1,4,1,8
2025-12-31,2025,12,1,31,mercredi,0,4,Grand Tunis,Tunis,Tunis,Application Mobile,Particulier,Internet Fixe,xDSL Premium,xDSL,Résidentiel,0,0.0,Aucune,44.877,5,224.385,Paiement en ligne,Faible,18.0,1,0,1,0,0,Pluvieux,7.1,15.29,11.39,2.837,3.58,4.0,5.56,1178,4.0,6.0,4.86,5.37,,2,15,15,0,1,1,14,3,3,4,1,4,1
2025-12-31,2025,12,1,31,mercredi,0,4,Grand Tunis,Tunis,Tunis,Boutique,Particulier,Internet Fixe,xDSL Basic,xDSL,Résidentiel,0,0.0,Aucune,33.639,4,134.556,Paiement en ligne,Faible,4.0,0,0,1,0,0,Pluvieux,2.2,15.29,11.39,2.837,4.25,1.0,2.84,1287,5.0,8.0,7.43,7.13,,2,15,15,1,1,1,13,3,3,4,1,4,1
2025-12-31,2025,12,1,31,mercredi,0,4,Grand Tunis,Ariana,Ariana,Application Mobile,Particulier,Mobile,Forfait Illimité,5G,Prépayé,0,0.0,Aucune,69.707,27,1882.089,Mobile Money,Élevé,27.0,0,0,1,0,0,Nuageux,4.8,15.29,11.39,2.837,4.02,0.0,2.76,3314,57.0,68.0,58.71,54.47,,2,0,0,0,1,2,12,1,2,3,4,3,1
2025-12-31,2025,12,1,31,mercredi,0,4,Grand Tunis,Ben Arous,Ben Arous,Revendeur,Particulier,Mobile,Forfait 5 DT,4G,Prépayé,0,0.0,Aucune,5.724,75,429.3,Espèces,Moyen,106.0,0,0,1,0,0,Nuageux,3.1,15.29,11.39,2.837,4.24,2.0,2.67,3438,76.0,49.0,62.71,71.9,,2,1,1,3,1,2,11,0,2,1,3,3,1
2025-12-31,2025,12,1,31,mercredi,0,4,Grand Tunis,Ariana,Ariana,Boutique,Particulier,Mobile,Forfait 40 DT,5G,Prépayé,1,19.6,Nouvel An Digital,37.279,128,4771.712,Carte bancaire,Moyen,315.0,0,0,1,0,0,Nuageux,2.2,15.29,11.39,2.837,4.65,1.0,2.21,4214,74.0,108.0,91.43,92.57,,2,0,0,1,1,2,10,1,2,0,3,3,7
2025-12-31,2025,12,1,31,mercredi,0,4,Grand Tunis,Ben Arous,Ben Arous,Revendeur,Particulier,Mobile,Forfait 20 DT,4G,Prépayé,0,0.0,Aucune,23.423,45,1054.035,Inconnu,Moyen,,0,0,1,0,0,Pluvieux,7.1,15.29,11.39,2.837,4.33,1.0,2.97,2935,55.0,85.0,50.57,47.77,,2,1,1,3,1,2,9,0,2,2,3,4,1
2025-12-31,2025,12,1,31,mercredi,0,4,Grand Tunis,Tunis,Tunis,Site Web,Particulier,Mobile,Forfait 10 DT,4G,Prépayé,1,11.0,Black Friday Ooredoo-like,10.219,176,1798.544,Espèces,Moyen,278.0,0,0,1,0,0,Pluvieux,3.6,15.29,11.39,2.837,4.12,1.0,2.54,3787,202.0,153.0,162.29,156.23,,2,15,15,4,1,2,8,0,2,1,3,4,3
2025-12-31,2025,12,1,31,mercredi,0,4,Sud Ouest,Tozeur,Tozeur,Boutique,Particulier,Mobile,Forfait 5 DT,4G,Prépayé,0,0.0,Aucune,5.817,16,93.072,Carte bancaire,Moyen,32.0,0,0,1,0,0,Nuageux,8.7,15.29,11.39,2.837,4.11,0.0,2.96,3165,18.0,14.0,17.29,18.4,,6,14,14,1,1,2,11,0,2,0,3,3,1
